song_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels
302,0.668,0.802,0.0917,0.0273,0.0,0.163,0.769,113.796,9
303,0.593,0.765,0.0385,0.503,3.91e-06,0.667,0.801,121.844,9
304,0.605,0.822,0.0438,0.00671,0.134,0.147,0.288,167.997,7
305,0.585,0.776,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,4
306,0.698,0.932,0.0503,0.0233,0.000261,0.399,0.836,150.02,0
307,0.854,0.71,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,5
308,0.45,0.977,0.0691,0.000442,0.000114,0.362,0.395,135.904,8
309,0.737,0.867,0.0458,0.0398,0.0,0.32,0.506,98.05,1
310,0.214,0.947,0.0507,0.000552,0.00352,0.238,0.483,170.616,7
311,0.798,0.655,0.0387,0.381,1.09e-06,0.477,0.828,111.98,5
312,0.779,0.787,0.108,0.0524,0.0,0.14,0.708,124.982,2
313,0.632,0.631,0.0592,0.000219,3.05e-05,0.162,0.312,79.021,4
314,0.577,0.676,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,1
315,0.737,0.93,0.0534,0.237,1.57e-06,0.0911,0.965,103.191,5
316,0.323,0.127,0.0321,0.841,0.00413,0.117,0.394,92.637,1
317,0.723,0.809,0.0625,0.00346,0.00123,0.565,0.274,98.007,1
318,0.577,0.94,0.0361,2.42e-05,0.0715,0.347,0.818,116.045,9
319,0.908,0.557,0.107,0.242,0.0,0.0709,0.897,90.032,1
320,0.555,0.644,0.0367,0.42,0.0,0.0751,0.417,144.202,0
321,0.682,0.836,0.0424,0.0464,3.13e-06,0.0797,0.486,104.984,5
322,0.536,0.351,0.0266,0.762,0.0,0.22,0.532,106.73,5
323,0.67,0.558,0.0251,0.238,0.0,0.106,0.63,80.511,4
324,0.494,0.672,0.0405,0.0273,0.0,0.105,0.557,156.208,3
325,0.623,0.68,0.0282,0.0056,0.000425,0.148,0.737,129.713,2
326,0.896,0.586,0.0559,0.104,0.0,0.79,0.642,116.971,9
327,0.604,0.742,0.0459,0.0611,6.13e-06,0.259,0.923,163.861,3
328,0.423,0.464,0.0273,0.308,0.000161,0.117,0.255,144.954,0
329,0.768,0.881,0.113,0.0188,3.65e-06,0.298,0.502,99.98,1
330,0.727,0.937,0.286,0.00417,0.0,0.091,0.749,132.067,8
331,0.716,0.736,0.0363,0.336,1.4e-05,0.137,0.542,104.018,5
332,0.727,0.552,0.14,0.227,0.000164,0.198,0.607,168.189,7
333,0.538,0.428,0.0248,0.321,0.0,0.103,0.181,97.949,1
334,0.528,0.965,0.0465,0.141,0.985,0.0797,0.587,136.065,8
335,0.652,0.61,0.0636,0.45,0.0,0.576,0.612,145.964,0
336,0.254,0.238,0.0303,0.588,0.0535,0.0772,0.0809,84.126,4
337,0.48,0.542,0.0428,0.803,0.0,0.147,0.614,118.301,9
338,0.59,0.737,0.0384,0.404,0.0,0.108,0.877,132.966,8
339,0.437,0.938,0.152,0.000913,0.0,0.116,0.734,201.97,6
340,0.683,0.739,0.0495,4.91e-05,0.0122,0.293,0.836,122.113,9
341,0.781,0.722,0.0667,0.236,0.000398,0.077,0.533,87.858,1
342,0.641,0.722,0.082,0.323,0.0,0.104,0.716,93.992,1
343,0.741,0.647,0.0427,0.108,0.00139,0.0555,0.804,131.097,2
344,0.55,0.428,0.0286,0.368,0.0,0.166,0.551,120.252,9
345,0.837,0.954,0.0414,0.0933,0.000405,0.143,0.972,127.019,2
346,0.501,0.812,0.0375,0.133,8.39e-06,0.324,0.603,149.86,0
347,0.438,0.634,0.0346,0.439,4.35e-06,0.0577,0.331,135.033,8
348,0.471,0.797,0.0389,0.000179,6.49e-06,0.299,0.497,152.903,0
349,0.356,0.261,0.0315,0.689,0.0,0.112,0.279,128.551,2
350,0.632,0.781,0.0289,0.0489,1.76e-05,0.165,0.618,123.476,2
351,0.533,0.906,0.0381,0.2,0.0015,0.493,0.638,121.669,9
352,0.725,0.259,0.0382,0.843,2.63e-06,0.112,0.2,133.849,8
353,0.261,0.964,0.0638,0.00141,2.87e-05,0.183,0.326,162.902,3
354,0.546,0.931,0.0507,0.0295,1.67e-05,0.366,0.527,120.01,9
